date,areaType,areaCode,areaName,newCasesBySpecimenDate
25/04/2020,region,E12000008,South East,515
25/04/2020,region,E12000003,Yorkshire and The Humber,414
25/04/2020,region,E12000006,East of England,377
26/04/2020,region,E12000005,West Midlands,316
26/04/2020,region,E12000001,North East,159
26/04/2020,region,E12000004,East Midlands,244
26/04/2020,region,E12000007,London,311
26/04/2020,region,E12000002,North West,429
26/04/2020,region,E12000009,South West,254
26/04/2020,region,E12000008,South East,501
26/04/2020,region,E12000003,Yorkshire and The Humber,423
26/04/2020,region,E12000006,East of England,357
27/04/2020,region,E12000005,West Midlands,419
27/04/2020,region,E12000001,North East,281
27/04/2020,region,E12000004,East Midlands,319
27/04/2020,region,E12000007,London,418
27/04/2020,region,E12000002,North West,622
27/04/2020,region,E12000009,South West,321
27/04/2020,region,E12000008,South East,554
27/04/2020,region,E12000003,Yorkshire and The Humber,510
27/04/2020,region,E12000006,East of England,511
28/04/2020,region,E12000005,West Midlands,375
28/04/2020,region,E12000001,North East,361
28/04/2020,region,E12000004,East Midlands,272
28/04/2020,region,E12000007,London,311
28/04/2020,region,E12000002,North West,712
28/04/2020,region,E12000009,South West,276
28/04/2020,region,E12000008,South East,660
28/04/2020,region,E12000003,Yorkshire and The Humber,489
28/04/2020,region,E12000006,East of England,463
29/04/2020,region,E12000005,West Midlands,441
29/04/2020,region,E12000001,North East,357
29/04/2020,region,E12000004,East Midlands,379
29/04/2020,region,E12000007,London,428
29/04/2020,region,E12000002,North West,795
29/04/2020,region,E12000009,South West,347
29/04/2020,region,E12000008,South East,688
29/04/2020,region,E12000003,Yorkshire and The Humber,714
29/04/2020,region,E12000006,East of England,475
30/04/2020,region,E12000005,West Midlands,451
30/04/2020,region,E12000001,North East,385
30/04/2020,region,E12000004,East Midlands,295
30/04/2020,region,E12000007,London,423
30/04/2020,region,E12000002,North West,773
30/04/2020,region,E12000009,South West,245
30/04/2020,region,E12000008,South East,651
30/04/2020,region,E12000003,Yorkshire and The Humber,575
30/04/2020,region,E12000006,East of England,424
01/05/2020,region,E12000005,West Midlands,472
01/05/2020,region,E12000001,North East,274
01/05/2020,region,E12000004,East Midlands,293
01/05/2020,region,E12000007,London,355
01/05/2020,region,E12000002,North West,725
01/05/2020,region,E12000009,South West,264
01/05/2020,region,E12000008,South East,523
01/05/2020,region,E12000003,Yorkshire and The Humber,620
01/05/2020,region,E12000006,East of England,493
02/05/2020,region,E12000005,West Midlands,319
02/05/2020,region,E12000001,North East,183
02/05/2020,region,E12000004,East Midlands,199
02/05/2020,region,E12000007,London,248
02/05/2020,region,E12000002,North West,414
02/05/2020,region,E12000009,South West,209
02/05/2020,region,E12000008,South East,416
02/05/2020,region,E12000003,Yorkshire and The Humber,385
02/05/2020,region,E12000006,East of England,302
03/05/2020,region,E12000005,West Midlands,299
03/05/2020,region,E12000001,North East,161
03/05/2020,region,E12000004,East Midlands,172
03/05/2020,region,E12000007,London,168
03/05/2020,region,E12000002,North West,492
